""," ","0","1"
"1","","(N=310)","(N=302)"
"2","Number of children under 5 in household","",""
"3","  Mean (SD)","0.71 (0.78)","0.75 (0.78)"
"4","Number of people in household","",""
"5","  Mean (SD)","4.8 (2.4)","5.0 (2.4)"
"6","Months living in household","",""
"7","  Mean (SD)","57 (73)","79 (100)"
"8","  Missing","1 (0.3%)","1 (0.3%)"
"9","Household Food Insecurity Access Scale","",""
"10","  Mean (SD)","10 (7.2)","10 (6.7)"
"11","High poverty","",""
"12","  Yes","149 (48 %)","138 (46 %)"
"13","  No","161 (52 %)","164 (54 %)"
"14","Basic sanitation access","",""
"15","  Yes","107 (35 %)","112 (37 %)"
"16","  No","202 (65 %)","189 (63 %)"
"17","  Missing","1 (0.3%)","1 (0.3%)"
"18","Fixed employment status of primary wage earner","",""
"19","  Yes","127 (41 %)","95 (31 %)"
"20","  No","161 (52 %)","187 (62 %)"
"21","  Missing","22 (7.1%)","20 (6.6%)"
"22","Secondary education of primary caregiver complete","",""
"23","  Yes","56 (18 %)","76 (25 %)"
"24","  No","253 (82 %)","226 (75 %)"
"25","  Missing","1 (0.3%)","0 (0%)"
"26","Observed human feces in or near the household","",""
"27","  Yes","2 (1 %)","3 (1 %)"
"28","  No","307 (99 %)","299 (99 %)"
"29","  Missing","1 (0.3%)","0 (0%)"
"30","Observed animal feces in or near the household","",""
"31","  Yes","26 (8 %)","35 (12 %)"
"32","  No","284 (92 %)","267 (88 %)"
"33","Handwashing station (with soap and water) in house or yard","",""
"34","  Yes","78 (25 %)","103 (34 %)"
"35","  No","232 (75 %)","199 (66 %)"
"36","Rainy season (Dec-Apr)","",""
"37","  Yes","152 (49 %)","154 (51 %)"
"38","  No","158 (51 %)","148 (49 %)"
"39","Any flooding in household or yard in the last month","",""
"40","  Yes","105 (34 %)","92 (30 %)"
"41","  No","202 (65 %)","209 (69 %)"
"42","  Missing","3 (1.0%)","1 (0.3%)"
