"","Outcome_Variable","Risk_Ratio","P_Value","CI_Lower","CI_Upper","Robust_se"
"1","E. coli in source water",0.674705882352942,0.0211944932475576,0.482808380956408,0.942875156350618,0.170743376494823
"2","E. coli in stored water",0.993154362416109,0.948496381517607,0.806299829555854,1.22331116965444,0.106342057262047
"3","Water insecure",2.74028716216217,0.00585931836645481,1.33781347520194,5.61301995405399,0.365829679748869
"4","Access to at least basic water source",1.08574729620277,0.0685175783277827,0.993768369447188,1.18623939688018,0.0451630767235695
"5","Access to water on the premises",1.41099658192694,0.0136678649583208,1.07318685176232,1.85513953226332,0.139624317530109
"6","Sufficient quantities of water when needed",1.00200959123087,0.922234214848528,0.962423877351354,1.04322351569435,0.020565244447726
"7","Satisfied with water service",1.70291186241938,0.00166818166998461,1.22194495333692,2.37319103716539,0.169334608505646
"8","Satisfied with water affordability",1.3036093418259,0.0105974026531268,1.06374958550237,1.5975539161251,0.103743276980791
"9","Satisfied with water availability",1.25538960123996,0.0451373590781947,1.00493625050684,1.5682617182001,0.113531559425951
"10","Satisfied with water pressure",1.23032639293957,0.0877117194932806,0.969825822940085,1.56079885414352,0.121386878512026
"11","Satisfied with water color and appearance",1.43575090792566,0.0698448007847756,0.971082157956634,2.12276649583073,0.199506222299355
"12","Satisfied with water taste and smell",1.22093605654182,0.123189669207027,0.947251827854447,1.57369435490068,0.12949394053815
"13",">= 80 L/day of water use (respondent)",1.09626300851466,0.259434286563356,0.934421180618173,1.28613585475724,0.0814975155924905
