"","Outcome_Variable","Prevalence_Ratio","P_Value","CI_Lower","CI_Upper","Robust_se"
"1","E. coli in source water",0.799568466037663,0.142266002866895,0.593062935040021,1.07797957705564,0.152434510915821
"2","E. coli in stored water",0.995017240147934,0.931264780345887,0.88824749653798,1.11462099476829,0.0579130853641204
"3","Water insecure",1.27307456090469,0.028420868858577,1.02582475942163,1.57991783951134,0.11017242678594
"4","Access to at least basic water source",1.03864855501911,0.0030661886546206,1.01290214670424,1.0650493972724,0.012806519752129
"5","Access to water on the premises",3.79117293644699,0,3.06556250732046,4.68853340935826,0.108389987007614
"6","Sufficient quantities of water when needed",0.996904273506271,0.897014767014286,0.951180334225546,1.04482619622727,0.0239546328325321
"7","Satisfied with water service",1.18661908367507,0.0132002336170469,1.036433922401,1.35856692772073,0.0690419679603209
"8","Satisfied with water affordability",1.3056510316707,1.64451793627229e-06,1.17073932707818,1.45610946610742,0.0556460910678963
"9","Satisfied with water availability",1.11211361557398,0.080096373644311,0.987338010067631,1.25265783483845,0.0607169382595511
"10","Satisfied with water pressure",1.14893158516503,0.0206387169877089,1.02149345436264,1.29226847392132,0.0599830238621118
"11","Satisfied with water color and appearance",1.15446062287346,0.110153675566283,0.967932888175843,1.37693361393797,0.0899111052149027
"12","Satisfied with water taste and smell",0.997543507785295,0.969957057272114,0.877694511446553,1.13375785873897,0.0653046777541719
"13",">= 80 L/day of water use (respondent)",1.28741650780824,3.84740758230251e-06,1.1565546062824,1.43308517866252,0.0546898391469687
"14","Free chlorine in source water",1.13155392409841,0.0233259522731279,1.01692827849439,1.2590998895598,0.0544924745799426
