"","Outcome_Variable","Risk_Ratio","P_Value","CI_Lower","CI_Upper","Robust_se"
"1","E. coli in source water",0.820884611989049,0.0885150692613226,0.654101186104649,1.03019465568222,0.115877803868208
"2","E. coli in stored water",0.960573979591837,0.335524426243123,0.885069511951124,1.04251966405985,0.0417677626024452
"3","Water insecure",1.44793689629687,0.000134320162018309,1.19739157499067,1.75090697099162,0.0969358212806175
"4","Access to at least basic water source",1.07691734427077,0.00100227668092767,1.03040803269024,1.12552593690801,0.0225243759815926
"5","Access to water on the premises",4.03991407148317,0,3.24558268877563,5.02865194635501,0.11169822610601
"6","Sufficient quantities of water when needed",1.02974370761981,0.0424331392676287,1.00100068687001,1.0593120637092,0.0144437536778445
"7","Satisfied with water service",1.27276143211627,1.35621359211857e-05,1.14172021227112,1.41884294039107,0.0554351085566434
"8","Satisfied with water affordability",1.36085151785323,1.34336985979644e-13,1.25423108600526,1.47653560361178,0.041626487522016
"9","Satisfied with water availability",1.18711978088532,3.76254352625338e-05,1.09413050287008,1.28801214340749,0.0416173645969886
"10","Satisfied with water pressure",1.18885940009358,7.73626133132588e-06,1.10205868636622,1.28249674057846,0.0386808145080883
"11","Satisfied with water color and appearance",1.17333977455717,0.0130856319617085,1.03416116737561,1.33124919982402,0.064420183060219
"12","Satisfied with water taste and smell",1.02372937275274,0.601923987239668,0.937379199365394,1.11803401371209,0.0449589748556587
"13",">= 80 L/day of water use (respondent)",1.2954405517859,9.16204001555343e-10,1.19243379813055,1.40734540218696,0.0422726554504787
