"","Outcome_Variable","Coefficient","Risk_Ratio","P_Value","CI_Lower","CI_Upper","Robust_se"
"arm","E. coli in source water","arm",0.786161899836505,0.129374642039759,0.576066945535429,1.07287970182023,0.158642281542812
"hh_water","E. coli in source water","hh_water",0.823580363149898,0.355834387085001,0.545470250319011,1.24348599060981,0.210210645366146
"arm:hh_water","E. coli in source water","arm:hh_water",0.889396412633381,0.69612977375869,0.493886746545393,1.60163435106964,0.300120822296555
"","E. coli in source water","arm & hh_water (combined)",0.575855274431062,0.00749479779706465,0.384262597096265,0.862975734812408,0.20639296121457
"arm1","E. coli in stored water","arm",0.840711282433852,0.0442805590845547,0.709937754220909,0.995573846029944,0.0862607154366242
"hh_water1","E. coli in stored water","hh_water",0.898077074636621,0.178748888865051,0.767821985011385,1.05042893760838,0.0799479479109346
"arm:hh_water1","E. coli in stored water","arm:hh_water",1.08877859314785,0.522935764869738,0.83869553389038,1.41343166500271,0.133144919003621
"1","E. coli in stored water","arm & hh_water (combined)",0.822053455852965,0.0108626278298956,0.706992990251558,0.955839582001164,0.0769309557776333
"arm2","Water insecure","arm",1.11467966145552,0.639292002982865,0.707903726287725,1.75519735455888,0.231639917777986
"hh_water2","Water insecure","hh_water",1.28334691882993,0.263018971862991,0.829126258122236,1.98640351567234,0.222884836430999
"arm:hh_water2","Water insecure","arm:hh_water",0.929826540616019,0.78708288682738,0.548414363324285,1.57650392377254,0.26937087480168
"2","Water insecure","arm & hh_water (combined)",1.33013612213957,0.230958883002916,0.834019962616524,2.12136661318021,0.238152666014641
"arm3","Access to at least basic water source","arm",1.09244284887522,0.0372430775456902,1.0052381768177,1.18721254880775,0.0424448107579582
"hh_water3","Access to at least basic water source","hh_water",1.04858649779367,0.0318149171597828,1.00413525452444,1.0950055168374,0.0221001718381258
"arm:hh_water3","Access to at least basic water source","arm:hh_water",0.980807350036735,0.523196678212597,0.924155954026716,1.04093151561113,0.0303547042142694
"3","Access to at least basic water source","arm & hh_water (combined)",1.12353524079983,0.00171374460297787,1.0446437143163,1.20838465786904,0.0371450485127232
"arm4","Access to water on the premises","arm",1.48039779517069,0.0970238579138305,0.931414125114515,2.35295726450014,0.236409242482223
"hh_water4","Access to water on the premises","hh_water",4.70404511066316,4.88498130835069e-15,3.19216600066981,6.93198298538073,0.197817916808416
"arm:hh_water4","Access to water on the premises","arm:hh_water",0.693829937675277,0.129363188523052,0.432609957770847,1.11278063245478,0.241015485827089
"4","Access to water on the premises","arm & hh_water (combined)",4.83173316920293,1.38977161369828e-15,3.28255148423661,7.11204242507261,0.197236849985508
"arm5","Sufficient quantities of water when needed","arm",1.02626636341388,0.356586585138288,0.97122610341115,1.08442580463563,0.0281241367725029
"hh_water5","Sufficient quantities of water when needed","hh_water",0.991459142400729,0.815364755401015,0.922586534087919,1.0654732046591,0.0367329407346607
"arm:hh_water5","Sufficient quantities of water when needed","arm:hh_water",1.00160745784602,0.975248475744796,0.904965367272331,1.10857004686995,0.0517677405562916
"5","Sufficient quantities of water when needed","arm & hh_water (combined)",1.01913675878176,0.586914681691994,0.951774007226675,1.09126717604595,0.0348895988715449
"arm6","Satisfied with water service","arm",1.5514297529605,6.86366051991794e-05,1.24975954104008,1.92591790607014,0.110319266013062
"hh_water6","Satisfied with water service","hh_water",1.39472394161884,0.00454799415532303,1.10835858405016,1.75507719371511,0.117253232957025
"arm:hh_water6","Satisfied with water service","arm:hh_water",0.756381703497232,0.0496653407034771,0.572344051766617,0.999596797799278,0.142247881585036
"6","Satisfied with water service","arm & hh_water (combined)",1.63667099868514,2.56174661708467e-06,1.3328913461585,2.00968515975231,0.104751924935565
"arm7","Satisfied with water affordability","arm",1.22998272223478,0.0457151255629036,1.00394614344808,1.50691100998717,0.103602930854745
"hh_water7","Satisfied with water affordability","hh_water",1.34513092597287,0.00664053261216435,1.08588867632895,1.66626399874208,0.109230940190822
"arm:hh_water7","Satisfied with water affordability","arm:hh_water",0.929529815041254,0.556672313985904,0.728512258330764,1.18601391695229,0.124323689170075
"7","Satisfied with water affordability","arm & hh_water (combined)",1.53789573694688,1.0581694408241e-05,1.26985079244781,1.86252062981376,0.0977120766105664
"arm8","Satisfied with water availability","arm",1.279089070751,0.0243396325328815,1.03240399920993,1.58471766107716,0.109315356401166
"hh_water8","Satisfied with water availability","hh_water",1.14328549955306,0.339347471900289,0.868675231413207,1.50470703690012,0.14014902289601
"arm:hh_water8","Satisfied with water availability","arm:hh_water",0.934983180787346,0.642097805376322,0.704171973220759,1.24144893804395,0.144645884793128
"8","Satisfied with water availability","arm & hh_water (combined)",1.36728573224582,0.00430284612609405,1.10304157003979,1.69483211184467,0.109569453864025
"arm9","Satisfied with water pressure","arm",1.18356381665334,0.131957194620647,0.950523098213437,1.4737393659596,0.11187392179583
"hh_water9","Satisfied with water pressure","hh_water",1.17096226738487,0.10115068892896,0.969596014407768,1.41414837856633,0.0962763447792091
"arm:hh_water9","Satisfied with water pressure","arm:hh_water",0.918749711781433,0.507201178641747,0.715207038131891,1.18021913641013,0.127776363377751
"9","Satisfied with water pressure","arm & hh_water (combined)",1.27330309955813,0.0195665306636461,1.03952591305721,1.55965403361245,0.103494710956522
"arm10","Satisfied with water color and appearance","arm",1.06596807445525,0.688144203392734,0.780302996562381,1.45621372821036,0.159161405089834
"hh_water10","Satisfied with water color and appearance","hh_water",1.12848890184268,0.325979291767142,0.886630472355711,1.43632239279859,0.123064525588532
"arm:hh_water10","Satisfied with water color and appearance","arm:hh_water",0.929779951809199,0.681870030734425,0.656432067059104,1.31695388170072,0.177616702166485
"10","Satisfied with water color and appearance","arm & hh_water (combined)",1.11846311855797,0.489248974349417,0.814344756211092,1.53615497371748,0.161901528877298
"arm11","Satisfied with water taste and smell","arm",1.00000267208015,0.999978833858597,0.820843449383963,1.21826560828126,0.100727317670373
"hh_water11","Satisfied with water taste and smell","hh_water",0.978891791214421,0.806697819529704,0.825121198895022,1.1613192585407,0.0871891955160847
"arm:hh_water11","Satisfied with water taste and smell","arm:hh_water",0.975567252536274,0.8475154063963,0.758152205823211,1.25533033724775,0.128640272739003
"11","Satisfied with water taste and smell","arm & hh_water (combined)",0.954977327054507,0.632147524273201,0.790819360319836,1.15321113891209,0.0962336867121461
"arm12",">= 80 L/day of water use (respondent)","arm",1.22438779533066,0.0296721530818762,1.02016499197519,1.46949315566313,0.0931003005655414
"hh_water12",">= 80 L/day of water use (respondent)","hh_water",1.30142663272453,0.0100225415908819,1.06494979261707,1.5904142074177,0.102312968150049
"arm:hh_water12",">= 80 L/day of water use (respondent)","arm:hh_water",0.836874972069277,0.157638268720962,0.653711403991615,1.07135918786103,0.12602485066603
"12",">= 80 L/day of water use (respondent)","arm & hh_water (combined)",1.33351916540219,0.000784880469025509,1.12730431873726,1.57745635755824,0.0857103125946659
