"","variable","combined_intervention","variable_value","count","percentage"
"1","secondary_complete_bl","0",1,23,10.6976744186047
"2","secondary_complete_bl","2",1,30,16.7597765363128
"3","secondary_complete_bl","3",1,33,35.4838709677419
"4","secondary_complete_bl","4",1,46,37.3983739837398
"5","san_basic_obs_bl","0",1,63,29.3023255813954
"6","san_basic_obs_bl","2",1,45,25.1396648044693
"7","san_basic_obs_bl","3",1,44,47.3118279569892
"8","san_basic_obs_bl","4",1,67,54.9180327868852
"9","fixed_emp_pri","0",1,75,38.659793814433
"10","fixed_emp_pri","2",1,50,30.3030303030303
"11","fixed_emp_pri","3",1,52,55.9139784946236
"12","fixed_emp_pri","4",1,45,38.4615384615385
"13","human_feces","0",1,1,0.467289719626168
"14","human_feces","2",1,2,1.11731843575419
"15","human_feces","3",1,1,1.06382978723404
"16","human_feces","4",1,1,0.813008130081301
"17","animal_feces","0",1,16,7.44186046511628
"18","animal_feces","2",1,17,9.49720670391061
"19","animal_feces","3",1,10,10.6382978723404
"20","animal_feces","4",1,18,14.6341463414634
"21","HW_dwell","0",1,41,19.0697674418605
"22","HW_dwell","2",1,49,27.3743016759777
"23","HW_dwell","3",1,36,38.2978723404255
"24","HW_dwell","4",1,54,43.9024390243902
"25","season_rainy","0",1,105,48.8372093023256
"26","season_rainy","2",1,94,52.5139664804469
"27","season_rainy","3",1,46,48.936170212766
"28","season_rainy","4",1,60,48.780487804878
"29","flooding_HH_yard","0",1,77,36.150234741784
"30","flooding_HH_yard","2",1,65,36.5168539325843
"31","flooding_HH_yard","3",1,27,29.0322580645161
"32","flooding_HH_yard","4",1,27,21.9512195121951
"33","high_poverty","0",1,119,55.3488372093023
"34","high_poverty","2",1,93,51.9553072625698
"35","high_poverty","3",1,30,31.9148936170213
"36","high_poverty","4",1,45,36.5853658536585
